Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
AAL,American Airlines Group Inc.,33.73,0.4,1.1859,5/7/19,5/22/19
AAME,Atlantic American Corporation,2.48,0.02,0.8065,4/9/19,4/24/19
AAON,AAON Inc.,51.82,0.32,0.6175,5/31/19,7/1/19
AAPL,Apple Inc.,208.84,3.08,1.4748,5/10/19,5/16/19
AAXJ,iShares Trust,69.94,0.822308,1.1757,6/17/19,6/21/19
ABCB,Ameris Bancorp,37.49,0.4,1.067,6/27/19,7/10/19
ABDC,Alcentra Capital Corp.,8.34,0.72,15.8273,6/27/19,7/3/19
ACNB,ACNB Corporation,37.17,1,2.6903,5/30/19,6/14/19
ACWI,iShares Trust,74.81,1.812514,2.4228,6/17/19,6/21/19
ACWX,iShares Trust,47.09,1.57141,3.337,6/17/19,6/21/19
ADES,Advanced Emissions Solutions Inc.,12.67,1,7.8927,5/17/19,6/7/19
ADI,Analog Devices Inc.,119.92,2.16,1.8012,5/30/19,6/11/19
ADP,Automatic Data Processing Inc.,167.91,3.16,1.882,6/13/19,7/1/19
ADRA,Invesco BLDRS Index Funds Trust,31.5,0.91512,2.9051,6/24/19,7/31/19
ADRD,Invesco BLDRS Index Funds Trust,21.66,1.08988,5.0318,6/24/19,7/31/19
ADRE,Invesco BLDRS Index Funds Trust,40.88,0.82624,2.0211,6/24/19,7/31/19
ADRU,Invesco BLDRS Index Funds Trust,21.2586,1.06912,5.0291,6/24/19,7/31/19
ADTN,ADTRAN Inc.,11.32,0.36,3.1802,5/1/19,5/16/19
AFIN,American Finance Trust Inc.,11.45,1.1,9.607,7/10/19,7/15/19
AGNC,AGNC Investment Corp.,17.54,1.92,10.9464,6/27/19,7/10/19
AGND,WisdomTree Trust,41.92,1.26,3.0057,7/23/19,7/26/19
AGZD,WisdomTree Trust,47.7721,1.38,2.8887,7/23/19,7/26/19
AIA,iShares Trust,61.64,0.836816,1.3576,6/17/19,6/21/19
AIMC,Altra Industrial Motion Corp.,35.18,0.68,1.9329,6/17/19,7/2/19
AIQ,Global X Funds,16.88,0.108784,0.6445,6/27/19,7/8/19
ALCO,Alico Inc.,31.03,0.24,0.7734,6/27/19,7/12/19
ALGT,Allegiant Travel Company,147.66,2.8,1.8962,6/13/19,6/27/19
ALOT,AstroNova Inc.,23.92,0.28,1.1706,6/14/19,6/24/19
ALTY,Global X Funds,15.06,1.1652,7.7371,7/3/19,7/12/19
AMAL,Amalgamated Bank,16.85,0.24,1.4243,5/15/19,5/31/19
AMAT,Applied Materials Inc.,51.03,0.84,1.6461,5/22/19,6/13/19
AMCA,iShares Trust,28.6645,0.57014,1.989,6/17/19,6/21/19
AMGN,Amgen Inc.,176.01,5.8,3.2953,5/16/19,6/7/19
